BatchNo,AreaPattern,Count
波次2,"(8, 4, 8, 11, 12, 14, 16, 17)",1.0
波次2,"(8, 2, 4, 7, 9, 12, 16, 17)",1.0
波次2,"(8, 8, 11, 12, 13, 15, 17)",1.0
波次2,"(8, 2, 4, 8, 11, 14, 15, 17)",1.0
波次2,"(8, 1, 3, 8, 14, 16, 17)",1.0
波次2,"(8, 1, 7, 9, 12, 14, 16, 17)",1.0
波次2,"(2, 4, 17)",162.0
波次2,"(2, 12, 17)",64.0
波次3,"(2, 3, 4)",12.0
波次3,"(2, 17, 19)",6.0
波次3,"(2, 1, 19)",15.0
波次3,"(2, 4, 19)",9.0
波次3,"(2, 12, 19)",4.0
波次3,"(8, 2, 4, 9, 10, 12, 17)",1.0
波次3,"(8, 1, 8, 12, 13, 14, 19, 21)",1.0
波次3,"(8, 3, 8, 9, 11, 12, 14, 21)",1.0
波次3,"(8, 4, 5, 7, 17, 21)",1.0
波次3,"(8, 2, 6, 8, 9, 12, 18)",1.0
